[watchdog_rf] start Sun Jun 14 17:38:10 UTC 2026 NAN_KILL=1 VAL_KILL=0 CAP_HOURS=8
[watchdog_rf] WARN: gpu_util=0.0% (hang?) @ Sun Jun 14 17:39:10 UTC 2026 -- logging, not killing
[watchdog_rf] WARN: gpu_util=0.0% (hang?) @ Sun Jun 14 18:02:15 UTC 2026 -- logging, not killing
[watchdog_rf] WARN: gpu_util=0.0% (hang?) @ Sun Jun 14 18:02:24 UTC 2026 -- logging, not killing
[watchdog_rf] WARN: gpu_util=0.0% (hang?) @ Sun Jun 14 18:03:15 UTC 2026 -- logging, not killing
[watchdog_rf] WARN: gpu_util=0.0% (hang?) @ Sun Jun 14 18:03:24 UTC 2026 -- logging, not killing
[watchdog_rf] WARN: gpu_util=0.0% (hang?) @ Sun Jun 14 18:04:15 UTC 2026 -- logging, not killing
[watchdog_rf] WARN: gpu_util=0.0% (hang?) @ Sun Jun 14 18:04:24 UTC 2026 -- logging, not killing
[watchdog_rf] WARN: gpu_util=0.0% (hang?) @ Sun Jun 14 18:05:15 UTC 2026 -- logging, not killing
[watchdog_rf] WARN: gpu_util=0.0% (hang?) @ Sun Jun 14 18:05:24 UTC 2026 -- logging, not killing
[watchdog_rf] WARN: gpu_util=0.0% (hang?) @ Sun Jun 14 18:06:16 UTC 2026 -- logging, not killing
[watchdog_rf] WARN: gpu_util=0.0% (hang?) @ Sun Jun 14 18:06:25 UTC 2026 -- logging, not killing
[watchdog_rf] WARN: gpu_util=0.0% (hang?) @ Sun Jun 14 18:07:16 UTC 2026 -- logging, not killing
[watchdog_rf] WARN: gpu_util=0.0% (hang?) @ Sun Jun 14 18:07:25 UTC 2026 -- logging, not killing
[watchdog_rf] WARN: gpu_util=0.0% (hang?) @ Sun Jun 14 18:08:16 UTC 2026 -- logging, not killing
[watchdog_rf] WARN: gpu_util=0.0% (hang?) @ Sun Jun 14 18:08:25 UTC 2026 -- logging, not killing
[watchdog_rf] WARN: gpu_util=0.0% (hang?) @ Sun Jun 14 18:09:16 UTC 2026 -- logging, not killing
[watchdog_rf] WARN: gpu_util=0.0% (hang?) @ Sun Jun 14 18:09:25 UTC 2026 -- logging, not killing
[watchdog_rf] WARN: gpu_util=0.0% (hang?) @ Sun Jun 14 18:10:17 UTC 2026 -- logging, not killing
[watchdog_rf] WARN: gpu_util=0.0% (hang?) @ Sun Jun 14 18:10:26 UTC 2026 -- logging, not killing
[watchdog_rf] WARN: gpu_util=0.0% (hang?) @ Sun Jun 14 18:11:17 UTC 2026 -- logging, not killing
[watchdog_rf] WARN: gpu_util=0.0% (hang?) @ Sun Jun 14 18:11:26 UTC 2026 -- logging, not killing
[watchdog_rf] WARN: gpu_util=0.0% (hang?) @ Sun Jun 14 18:12:17 UTC 2026 -- logging, not killing
[watchdog_rf] WARN: gpu_util=0.0% (hang?) @ Sun Jun 14 18:13:17 UTC 2026 -- logging, not killing
[watchdog_rf] WARN: gpu_util=0.0% (hang?) @ Sun Jun 14 18:13:26 UTC 2026 -- logging, not killing
[watchdog_rf] WARN: gpu_util=0.0% (hang?) @ Sun Jun 14 18:14:17 UTC 2026 -- logging, not killing
[watchdog_rf] WARN: gpu_util=0.0% (hang?) @ Sun Jun 14 18:14:27 UTC 2026 -- logging, not killing
[watchdog_rf] WARN: gpu_util=0.0% (hang?) @ Sun Jun 14 18:15:18 UTC 2026 -- logging, not killing
[watchdog_rf] WARN: gpu_util=0.0% (hang?) @ Sun Jun 14 18:15:27 UTC 2026 -- logging, not killing
[watchdog_rf] WARN: gpu_util=0.0% (hang?) @ Sun Jun 14 18:16:18 UTC 2026 -- logging, not killing
[watchdog_rf] WARN: gpu_util=0.0% (hang?) @ Sun Jun 14 18:16:27 UTC 2026 -- logging, not killing
[watchdog_rf] WARN: gpu_util=0.0% (hang?) @ Sun Jun 14 18:17:18 UTC 2026 -- logging, not killing
[watchdog_rf] WARN: gpu_util=0.0% (hang?) @ Sun Jun 14 18:17:27 UTC 2026 -- logging, not killing
[watchdog_rf] WARN: gpu_util=0.0% (hang?) @ Sun Jun 14 18:18:18 UTC 2026 -- logging, not killing
[watchdog_rf] WARN: gpu_util=0.0% (hang?) @ Sun Jun 14 18:18:28 UTC 2026 -- logging, not killing
[watchdog_rf] WARN: gpu_util=0.0% (hang?) @ Sun Jun 14 18:19:18 UTC 2026 -- logging, not killing
[watchdog_rf] WARN: gpu_util=0.0% (hang?) @ Sun Jun 14 18:19:28 UTC 2026 -- logging, not killing
[watchdog_rf] WARN: gpu_util=0.0% (hang?) @ Sun Jun 14 18:20:19 UTC 2026 -- logging, not killing
[watchdog_rf] WARN: gpu_util=0.0% (hang?) @ Sun Jun 14 18:20:28 UTC 2026 -- logging, not killing
[watchdog_rf] WARN: gpu_util=0.0% (hang?) @ Sun Jun 14 18:21:19 UTC 2026 -- logging, not killing
[watchdog_rf] WARN: gpu_util=0.0% (hang?) @ Sun Jun 14 18:21:28 UTC 2026 -- logging, not killing
[watchdog_rf] WARN: gpu_util=0.0% (hang?) @ Sun Jun 14 18:22:19 UTC 2026 -- logging, not killing
[watchdog_rf] WARN: gpu_util=0.0% (hang?) @ Sun Jun 14 18:22:29 UTC 2026 -- logging, not killing
[watchdog_rf] WARN: gpu_util=0.0% (hang?) @ Sun Jun 14 18:23:19 UTC 2026 -- logging, not killing
[watchdog_rf] WARN: gpu_util=0.0% (hang?) @ Sun Jun 14 18:23:29 UTC 2026 -- logging, not killing
[watchdog_rf] WARN: gpu_util=0.0% (hang?) @ Sun Jun 14 18:24:20 UTC 2026 -- logging, not killing
[watchdog_rf] WARN: gpu_util=0.0% (hang?) @ Sun Jun 14 18:24:29 UTC 2026 -- logging, not killing
[watchdog_rf] WARN: gpu_util=0.0% (hang?) @ Sun Jun 14 18:25:20 UTC 2026 -- logging, not killing
[watchdog_rf] WARN: gpu_util=0.0% (hang?) @ Sun Jun 14 18:26:20 UTC 2026 -- logging, not killing
[watchdog_rf] WARN: gpu_util=0.0% (hang?) @ Sun Jun 14 18:26:30 UTC 2026 -- logging, not killing
[watchdog_rf] WARN: gpu_util=0.0% (hang?) @ Sun Jun 14 18:27:20 UTC 2026 -- logging, not killing
[watchdog_rf] WARN: gpu_util=0.0% (hang?) @ Sun Jun 14 18:27:30 UTC 2026 -- logging, not killing
[watchdog_rf] WARN: gpu_util=0.0% (hang?) @ Sun Jun 14 18:28:30 UTC 2026 -- logging, not killing
[watchdog_rf] WARN: gpu_util=0.0% (hang?) @ Sun Jun 14 18:29:21 UTC 2026 -- logging, not killing
